,AAVE Question,SAE Question,SPARQL,Results,Attempts,names
31,Gimme all da writers dat won da Nobel Prize in literature.,Give me all the writers who won the Nobel Prize in Literature.,"SELECT DISTINCT ?item ?itemLabel WHERE {
  ?item wdt:P31 wd:Q5.
  ?item wdt:P106/wdt:P279* wd:Q36180.
  ?item wdt:P166 wd:Q37922.
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}","{'head': {'vars': ['item', 'itemLabel']}, 'results': {'bindings': [{'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q47243'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Elfriede Jelinek'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q47619'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Nadine Gordimer'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q47695'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Rudolf Christoph Eucken'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q7728'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Grazia Deledda'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q57074'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Nelly Sachs'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q5878'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Gabriel García Márquez'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q862'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Joseph Brodsky'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q765'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Dario Fo'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q2344210'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Louise Glück'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q129187'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Patrick White'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q102483'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Jaroslav Seifert'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q93356'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Seamus Heaney'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q159552'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Johannes V. Jensen'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q80871'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Gabriela Mistral'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q131318'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Juan Ramón Jiménez'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q93157'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': ""Eugene O'Neill""}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q132684'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Saint-John Perse'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q83184'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Jacinto Benavente'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q132589'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Camilo José Cela'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q134644'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Vicente Aleixandre'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q76487'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Paul Heyse'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q131549'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Claude Simon'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q80889'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Sigrid Undset'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q121180'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Władysław Reymont'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q123469'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Sinclair Lewis'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q80900'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Pearl S. Buck'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q72334'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Toni Morrison'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q127349'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'José Echegaray'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q129155'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Roger Martin du Gard'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q129173'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Verner von Heidenstam'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q131326'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Eyvind Johnson'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q131487'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Karl Adolph Gjellerup'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q132695'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Harry Martinson'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q132701'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Derek Walcott'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q132723'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Frans Eemil Sillanpää'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q133042'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Shmuel Yosef Agnon'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q134641'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Erik Axel Karlfeldt'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q81685'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'François Mauriac'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q80321'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Halldór Laxness'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q82248'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'John Galsworthy'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q222944'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Patrick Modiano'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q241248'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Orhan Pamuk'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q254032'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Olga Tokarczuk'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q80064'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Elias Canetti'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q443868'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Jon Fosse'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q75612'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Isaac Bashevis Singer'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q83059'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Saul Bellow'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q83038'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Salvatore Quasimodo'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q75603'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Miguel Ángel Asturias'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q80095'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Kenzaburō Ōe'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q93137'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Pär Lagerkvist'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q49747'}, 'itemLabel': {'type': 'literal', 'value': 'Q49747'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q25973'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Hermann Hesse'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q42443'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Anatole France'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q34189'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Pablo Neruda'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q43523'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Gerhart Hauptmann'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q34670'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Albert Camus'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q392'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Bob Dylan'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q6538'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Günter Grass'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q40213'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'William Butler Yeats'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q41223'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Boris Pasternak'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q44107'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Peter Handke'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q7241'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Rabindranath Tagore'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q9364'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Jean-Paul Sartre'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q37327'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Samuel Beckett'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q34743'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Rudyard Kipling'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q8998'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Mo Yan'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q41042'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Harold Pinter'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q38392'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'William Faulkner'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q47484'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'André Gide'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q44519'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Selma Lagerlöf'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q42247'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Sully Prudhomme'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q37030'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Thomas Mann'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q47162'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Romain Rolland'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q1403'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Luigi Pirandello'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q40826'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Knut Hamsun'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q47755'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Imre Kertész'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q41488'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Wole Soyinka'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q46405'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Bjørnstjerne Bjørnson'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q25351'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Theodor Mommsen'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q42596'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Frédéric Mistral'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q44183'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'William Golding'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q46602'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Ivan Bunin'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q23434'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Ernest Hemingway'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q33760'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Bertrand Russell'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q38049'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Herta Müller'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q42398'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Mikhail Sholokhov'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q18143'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Gao Xingjian'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q46739'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Octavio Paz'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q47561'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Ivo Andrić'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q41502'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Henryk Sienkiewicz'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q37767'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'T. S. Eliot'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q40874'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Doris Lessing'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q34474'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Aleksandr Solzhenitsyn'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q37060'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'José Saramago'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q43440'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Giosuè Carducci'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q39212'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'John Steinbeck'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q39803'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Mario Vargas Llosa'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q7176'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Naguib Mahfouz'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q42037'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Jean-Marie Gustave Le Clézio'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q42122'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Tomas Tranströmer'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q42156'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Henri Bergson'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q42552'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Wisława Szymborska'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q42747'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Heinrich Böll'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q43293'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'J. M. Coetzee'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q43736'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Yasunari Kawabata'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q44593'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'V. S. Naipaul'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q45970'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Czesław Miłosz'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q19185'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'George Bernard Shaw'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q234819'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Alice Munro'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q225554'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Henrik Pontoppidan'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q1153825'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Annie Ernaux'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q160478'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Odysseas Elytis'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q5646626'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Han Kang'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q165823'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Giorgos Seferis'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q226525'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Carl Spitteler'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q272855'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Kazuo Ishiguro'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q274334'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Svetlana Alexievich'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q317877'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Abdulrazak Gurnah'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q512062'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'László Krasznahorkai'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q83174'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Eugenio Montale'}}]}}",1,Elfriede Jelinek
32,Gimme English actors starin' in Lovesick.,Give me English actors starring in Lovesick.,,{},0,
33,In which city the president of Montenegro born?,In which city was the president of Montenegro born?,,{},0,
34,Which U.S. state got the highest population density?,Which U.S. state has the highest population density?,,{},0,
35,Wha’s da longest river in China?,What is the longest river in China?,"SELECT ?river ?riverLabel ?length WHERE {
  ?river wdt:P31 wd:Q4022;
         (wdt:P17|wdt:P205) wd:Q148;
         wdt:P2043 ?length.
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}
ORDER BY DESC(?length)
LIMIT 1","{'head': {'vars': ['river', 'riverLabel', 'length']}, 'results': {'bindings': [{'river': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q5413'}, 'length': {'datatype': 'http://www.w3.org/2001/XMLSchema#decimal', 'type': 'literal', 'value': '6300'}, 'riverLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Yangtze'}}]}}",1,Yangtze
36,What’s da area code fo’ Berlin?,What is the area code for Berlin?,,{},0,
37,How many scientists graduated from an Ivy League school?,How many scientists graduated from an Ivy League school?,,{},0,
38,Which professional surfers was born in Australia?,Which professional surfers were born in Australia?,,{},0,
39,Gimme all da Dutch parties.,Give me all the Dutch parties.,,{},0,
40,How many moons Mars got?,How many moons does Mars have?,"SELECT (COUNT(DISTINCT ?moon) AS ?count) WHERE {
  ?moon wdt:P31 wd:Q2536;
        wdt:P397 wd:Q111.
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}","{'head': {'vars': ['count']}, 'results': {'bindings': [{'count': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '0'}}]}}",1,0
41,Wha Batman's real name?,What is Batman's real name?,"SELECT ?realName ?realNameLabel WHERE {
  wd:Q36662 wdt:P9745 ?realName.
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}","{'head': {'vars': ['realName', 'realNameLabel']}, 'results': {'bindings': []}}",1,
42,What Elon Musk famous for?,What is Elon Musk famous for?,,{},0,
43,Who da author of WikiLeaks?,Who is the author of WikiLeaks?,"SELECT ?author ?authorLabel WHERE {
  ?item rdfs:label ""WikiLeaks""@en.
  ?item wdt:P50 ?author.
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}","{'head': {'vars': ['author', 'authorLabel']}, 'results': {'bindings': []}}",1,
44,When Carlo Giuliani get shot?,When did Carlo Giuliani get shot?,,{},0,
45,Who was President Lincoln wife?,Who was President Lincoln's wife?,"SELECT ?spouse ?spouseLabel WHERE {
  wd:Q91 wdt:P26 ?spouse.
  ?spouse wdt:P21 wd:Q6581072.
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}","{'head': {'vars': ['spouse', 'spouseLabel']}, 'results': {'bindings': [{'spouse': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q215062'}, 'spouseLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Mary Todd Lincoln'}}]}}",1,Mary Todd Lincoln
46,How many awards Bertrand Russell got?,How many awards did Bertrand Russell win?,,{},0,
47,Is Pamela Anderson a vegan?,Is Pamela Anderson a vegan?,,{},0,
48,Which space probes was sent into orbit 'round the sun?,Which space probes were sent into orbit around the sun?,,{},0,
49,"Which German cities got more than 250,000 folks?","Which German cities have a population of more than 250,000?",,{},0,
50,Who the daughter of Robert Kennedy married to?,Who was the daughter of Robert Kennedy married to?,,{},0,
51,How many students the Free University of Amsterdam got?,How many students does the Free University of Amsterdam have?,,{},0,
52,What’s da revenue of IBM?,What is the revenue of IBM?,"SELECT ?amount ?unitLabel ?pointInTime WHERE {
  wd:Q37156 p:P2139 ?statement.
  ?statement ps:P2139 ?quantity.
  ?quantity wikibase:quantityAmount ?amount ;
            wikibase:quantityUnit ?unit .
  OPTIONAL { ?statement pq:P585 ?pointInTime. }
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}
ORDER BY DESC(?pointInTime)
LIMIT 1","{'head': {'vars': ['amount', 'unitLabel', 'pointInTime']}, 'results': {'bindings': []}}",1,
53,How many James Bond movies be out there?,How many James Bond movies have been released?,,{},0,
54,Who do the voice of Bart Simpson?,Who does the voice of Bart Simpson?,"SELECT ?voice ?voiceLabel WHERE {
  ?character rdfs:label ""Bart Simpson""@en.
  ?character wdt:P725 ?voice.
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}","{'head': {'vars': ['voice', 'voiceLabel']}, 'results': {'bindings': [{'voice': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q229211'}, 'voiceLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Nancy Cartwright'}}, {'voice': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q3336538'}, 'voiceLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Nathalie Bienaimé'}}, {'voice': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q5129227'}, 'voiceLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Claudia Motta'}}]}}",1,Nancy Cartwright
55,Who was Tom Hanks married to?,Who was Tom Hanks married to?,"SELECT ?spouse ?spouseLabel WHERE {
  wd:Q2263 wdt:P26 ?spouse.
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}","{'head': {'vars': ['spouse', 'spouseLabel']}, 'results': {'bindings': [{'spouse': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q234144'}, 'spouseLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Rita Wilson'}}]}}",1,Rita Wilson
56,Through which countries do da Yenisei river flow?,Through which countries does the Yenisei River flow?,,{},0,
57,Gimme all da cars dat's produced in Germany.,Give me all the cars that are produced in Germany.,,{},0,
58,When Michael Jackson die?,When did Michael Jackson die?,,{},0,
