,SAE Question,AAVE Question,SPARQL,Results,Attempts,Name,Answer
26,Is Venus Williams older than Serena Williams?,Is Venus Williams older than Serena Williams?,"SELECT ?isVenusOlder WHERE {
  ?venus wdt:P31 wd:Q5;
         rdfs:label ""Venus Williams""@en;
         wdt:P569 ?venusBirth.
  ?serena wdt:P31 wd:Q5;
          rdfs:label ""Serena Williams""@en;
          wdt:P569 ?serenaBirth.
  BIND(?venusBirth < ?serenaBirth AS ?isVenusOlder)
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}","{'head': {'vars': ['isVenusOlder']}, 'results': {'bindings': [{'isVenusOlder': {'datatype': 'http://www.w3.org/2001/XMLSchema#boolean', 'type': 'literal', 'value': 'true'}}]}}",1,[],Venus Williams is a tennis player.
27,Did The Beatles drop Rubber Soul before Revolver?,Did The Beatles drop Rubber Soul before Revolver?,"SELECT ?rubberSoul ?rubberSoulLabel ?rubberSoulDate ?revolver ?revolverLabel ?revolverDate (?rubberSoulDate < ?revolverDate AS ?rubberSoulBeforeRevolver) WHERE {
  ?beatles wdt:P31 wd:Q215380; rdfs:label ""The Beatles""@en.

  {
    SELECT ?rubberSoul (MIN(?d1) AS ?rubberSoulDate) WHERE {
      ?rubberSoul wdt:P31 wd:Q208569;  # studio album
                  wdt:P175 ?beatles;
                  rdfs:label ""Rubber Soul""@en;
                  wdt:P577 ?d1.
    } GROUP BY ?rubberSoul
  }

  {
    SELECT ?revolver (MIN(?d2) AS ?revolverDate) WHERE {
      ?revolver wdt:P31 wd:Q208569;  # studio album
                wdt:P175 ?beatles;
                rdfs:label ""Revolver""@en;
                wdt:P577 ?d2.
    } GROUP BY ?revolver
  }

  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}","{'head': {'vars': ['rubberSoul', 'rubberSoulLabel', 'rubberSoulDate', 'revolver', 'revolverLabel', 'revolverDate', 'rubberSoulBeforeRevolver']}, 'results': {'bindings': []}}",1,,Yes
28,How old is Aziz Ansari?,How old is Aziz Ansari?,"SELECT ?age WHERE {
  ?person wdt:P31 wd:Q5;
          rdfs:label ""Aziz Ansari""@en;
          wdt:P569 ?dob.
  BIND(NOW() AS ?now)
  BIND((YEAR(?now) - YEAR(?dob) - IF(MONTH(?now) < MONTH(?dob) || (MONTH(?now) = MONTH(?dob) && DAY(?now) < DAY(?dob)), 1, 0)) AS ?age)
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}
LIMIT 1","{'head': {'vars': ['age']}, 'results': {'bindings': [{'age': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '42'}}]}}",1,[],20
29,How many Pulitzer Prizes did Colson Whitehead win?,How many Pulitzer Prizes Colson Whitehead done won?,"SELECT (COUNT(?statement) AS ?count) WHERE {
  ?person wdt:P31 wd:Q5;
          rdfs:label ""Colson Whitehead""@en;
          p:P166 ?statement.
  ?statement ps:P166 ?award.
  ?award wdt:P361 wd:Q42536.
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}","{'head': {'vars': ['count']}, 'results': {'bindings': [{'count': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '0'}}]}}",1,[],three
30,"Who has been in more movies, Kevin Hart or Dwayne Johnson?","Who been in more movies, Kevin Hart or Dwayne Johnson?","SELECT ?person ?personLabel (COUNT(DISTINCT ?film) AS ?filmCount) WHERE {
  VALUES ?name {""Kevin Hart""@en ""Dwayne Johnson""@en}
  ?person wdt:P31 wd:Q5;
          wdt:P106 wd:Q33999;
          rdfs:label ?name.
  ?film wdt:P31/wdt:P279* wd:Q11424;
        wdt:P161 ?person.
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}
GROUP BY ?person ?personLabel
ORDER BY DESC(?filmCount)","{'head': {'vars': ['person', 'personLabel', 'filmCount']}, 'results': {'bindings': [{'person': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q618352'}, 'personLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Kevin Hart'}, 'filmCount': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '54'}}, {'person': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q10738'}, 'personLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Dwayne Johnson'}, 'filmCount': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '52'}}]}}",1,['Kevin Hart'],Kevin Hart
31,Did the movie Moana come out before 2015?,Did da movie Moana come out before 2015?,"ASK WHERE {
  ?film wdt:P31 wd:Q11424;
        rdfs:label ""Moana""@en;
        wdt:P577 ?date.
  ?film schema:description ?desc.
  FILTER(LANG(?desc) = ""en"" && CONTAINS(LCASE(?desc), ""2016"") && CONTAINS(LCASE(?desc), ""film""))
  FILTER(?date < ""2015-01-01T00:00:00Z""^^xsd:dateTime)
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}","{'head': {}, 'boolean': False}",1,False,"No, it was released in 2015."
32,"Which movie made more money, Joker or Suicide Squad (2016)?","Which movie made mo' money, Joker or Suicide Squad (2016)?","SELECT ?film ?filmLabel (MAX(?usdAmount) AS ?boxOfficeUSD) WHERE {
  {
    ?film wdt:P31 wd:Q11424;
          rdfs:label ""Joker""@en;
          wdt:P577 ?date.
    FILTER(YEAR(?date)=2019)
  }
  UNION
  {
    ?film wdt:P31 wd:Q11424;
          rdfs:label ""Suicide Squad""@en;
          wdt:P577 ?date.
    FILTER(YEAR(?date)=2016)
  }
  ?film p:P2142 ?stmt.
  ?stmt psv:P2142 ?valNode.
  ?valNode wikibase:quantityAmount ?usdAmount;
           wikibase:quantityUnit wd:Q4917.
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}
GROUP BY ?film ?filmLabel
ORDER BY DESC(?boxOfficeUSD)
LIMIT 1","{'head': {'vars': ['film', 'filmLabel', 'boxOfficeUSD']}, 'results': {'bindings': [{'film': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q42759035'}, 'filmLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Joker'}, 'boxOfficeUSD': {'datatype': 'http://www.w3.org/2001/XMLSchema#decimal', 'type': 'literal', 'value': '1074458282'}}]}}",1,['Joker'],Joker
33,"Which movie dropped first, Avengers: Endgame or Joker?","Which movie dropped first, Avengers: Endgame or Joker?","SELECT ?film ?filmLabel (MIN(?pubDate) AS ?firstRelease) WHERE {
  VALUES ?article { <https://en.wikipedia.org/wiki/Avengers:_Endgame> <https://en.wikipedia.org/wiki/Joker_(2019_film)> }
  ?article schema:about ?film .
  ?film wdt:P31 wd:Q11424 ;
        wdt:P577 ?pubDate .
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}
GROUP BY ?film ?filmLabel
ORDER BY ?firstRelease
LIMIT 1","{'head': {'vars': ['film', 'filmLabel', 'firstRelease']}, 'results': {'bindings': [{'film': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q23781155'}, 'filmLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Avengers: Endgame'}, 'firstRelease': {'datatype': 'http://www.w3.org/2001/XMLSchema#dateTime', 'type': 'literal', 'value': '2019-04-22T00:00:00Z'}}]}}",1,['Avengers: Endgame'],Avengers: Endgame
34,Was Friday the 13th in the same year as Halloween?,Was Friday da 13th drop da same year as Halloween?,"ASK WHERE {
  {
    SELECT (MIN(YEAR(?d1)) AS ?y1) WHERE { wd:Q193603 wdt:P577 ?d1. }
  }
  {
    SELECT (MIN(YEAR(?d2)) AS ?y2) WHERE { wd:Q188543 wdt:P577 ?d2. }
  }
  FILTER(?y1 = ?y2)
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}","{'head': {}, 'boolean': False}",1,False,Halloween is a Halloween holiday that falls on the 13th of November.
35,"Did the movie ""Screech"" come out before 2000?",Did Scream come out 'fore 2000?,"PREFIX wd: <http://www.wikidata.org/entity/>
PREFIX wdt: <http://www.wikidata.org/prop/direct/>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
PREFIX wikibase: <http://wikiba.se/ontology#>
PREFIX bd: <http://www.bigdata.com/rdf#>

SELECT ?film ?filmLabel (MIN(?date) AS ?firstRelease) (IF(MIN(?date) < ""2000-01-01T00:00:00Z""^^xsd:dateTime, true, false) AS ?cameOutBefore2000) WHERE {
  ?film wdt:P31 wd:Q11424;
        rdfs:label ""Screech""@en;
        wdt:P577 ?date.
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}
GROUP BY ?film ?filmLabel","{'head': {'vars': ['film', 'filmLabel', 'firstRelease', 'cameOutBefore2000']}, 'results': {'bindings': []}}",1,,yes
36,"Who is older, Drew Barrymore or Neve Campbell?","Who older, Drew Barrymore or Neve Campbell?","SELECT ?person ?personLabel ?dob WHERE {
  VALUES ?person { wd:Q43466 wd:Q215152 }
  ?person wdt:P569 ?dob.
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}
ORDER BY ?dob
LIMIT 1","{'head': {'vars': ['person', 'personLabel', 'dob']}, 'results': {'bindings': [{'person': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q43466'}, 'dob': {'datatype': 'http://www.w3.org/2001/XMLSchema#dateTime', 'type': 'literal', 'value': '1884-08-05T00:00:00Z'}, 'personLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Ludwik Hirszfeld'}}]}}",1,['Ludwik Hirszfeld'],Drew Barrymore
37,Was The Ring dropped before 2005?,Was The Ring drop before 2005?,"SELECT ?item ?itemLabel ?date WHERE {
  ?item wdt:P31 wd:Q11424;
        rdfs:label ""The Ring""@en;
        wdt:P577 ?date.
  FILTER(?date < ""2005-01-01T00:00:00Z""^^xsd:dateTime)
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}","{'head': {'vars': ['item', 'itemLabel', 'date']}, 'results': {'bindings': [{'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q212804'}, 'date': {'datatype': 'http://www.w3.org/2001/XMLSchema#dateTime', 'type': 'literal', 'value': '2002-01-01T00:00:00Z'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'The Ring'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q212804'}, 'date': {'datatype': 'http://www.w3.org/2001/XMLSchema#dateTime', 'type': 'literal', 'value': '2002-10-02T00:00:00Z'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'The Ring'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q212804'}, 'date': {'datatype': 'http://www.w3.org/2001/XMLSchema#dateTime', 'type': 'literal', 'value': '2002-10-18T00:00:00Z'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'The Ring'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q212804'}, 'date': {'datatype': 'http://www.w3.org/2001/XMLSchema#dateTime', 'type': 'literal', 'value': '2002-11-02T00:00:00Z'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'The Ring'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q212804'}, 'date': {'datatype': 'http://www.w3.org/2001/XMLSchema#dateTime', 'type': 'literal', 'value': '2003-02-13T00:00:00Z'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'The Ring'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q499031'}, 'date': {'datatype': 'http://www.w3.org/2001/XMLSchema#dateTime', 'type': 'literal', 'value': '1927-01-01T00:00:00Z'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'The Ring'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q499031'}, 'date': {'datatype': 'http://www.w3.org/2001/XMLSchema#dateTime', 'type': 'literal', 'value': '1927-10-01T00:00:00Z'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'The Ring'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q4846244'}, 'date': {'datatype': 'http://www.w3.org/2001/XMLSchema#dateTime', 'type': 'literal', 'value': '1984-01-01T00:00:00Z'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'The Ring'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q4846244'}, 'date': {'datatype': 'http://www.w3.org/2001/XMLSchema#dateTime', 'type': 'literal', 'value': '1985-01-01T00:00:00Z'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'The Ring'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q7760795'}, 'date': {'datatype': 'http://www.w3.org/2001/XMLSchema#dateTime', 'type': 'literal', 'value': '1952-01-01T00:00:00Z'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'The Ring'}}]}}",1,['The Ring'],yes
38,"Who is older, Jodie Foster or Julia Roberts?","Who older, Jodie Foster or Julia Roberts?","SELECT ?person ?personLabel ?birth WHERE {
  VALUES ?name {""Jodie Foster""@en ""Julia Roberts""@en}
  ?person rdfs:label ?name;
          wdt:P31 wd:Q5;
          wdt:P569 ?birth.
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}
ORDER BY ASC(?birth)
LIMIT 1","{'head': {'vars': ['person', 'personLabel', 'birth']}, 'results': {'bindings': [{'person': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q6306690'}, 'birth': {'datatype': 'http://www.w3.org/2001/XMLSchema#dateTime', 'type': 'literal', 'value': '1956-06-10T00:00:00Z'}, 'personLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Julia Roberts'}}]}}",1,['Julia Roberts'],Julia Roberts
39,"Who is taller, Angelina Jolie or Brad Pitt?","Who taller, Angelina Jolie or Brad Pitt?","SELECT ?person ?personLabel ?height WHERE {
  VALUES ?person { wd:Q13909 wd:Q35332 }
  ?person wdt:P2048 ?height.
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}
ORDER BY DESC(?height)
LIMIT 1","{'head': {'vars': ['person', 'personLabel', 'height']}, 'results': {'bindings': [{'person': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q35332'}, 'height': {'datatype': 'http://www.w3.org/2001/XMLSchema#decimal', 'type': 'literal', 'value': '180'}, 'personLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Brad Pitt'}}]}}",1,['Brad Pitt'],Brad Pitt
40,Is Jake Gyllenhaal older than Maggie Gyllenhaal?,Is Jake Gyllenhaal older than Maggie Gyllenhaal?,"PREFIX wd: <http://www.wikidata.org/entity/>
PREFIX wdt: <http://www.wikidata.org/prop/direct/>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX wikibase: <http://wikiba.se/ontology#>
PREFIX bd: <http://www.bigdata.com/rdf#>

SELECT ?jakeLabel ?maggieLabel ?jakeBirth ?maggieBirth ?isJakeOlder WHERE {
  ?jake wdt:P31 wd:Q5;
        rdfs:label ""Jake Gyllenhaal""@en;
        wdt:P569 ?jakeBirth.
  ?maggie wdt:P31 wd:Q5;
          rdfs:label ""Maggie Gyllenhaal""@en;
          wdt:P569 ?maggieBirth.
  BIND(?jakeBirth < ?maggieBirth AS ?isJakeOlder)
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}","{'head': {'vars': ['jakeLabel', 'maggieLabel', 'jakeBirth', 'maggieBirth', 'isJakeOlder']}, 'results': {'bindings': [{'jakeBirth': {'datatype': 'http://www.w3.org/2001/XMLSchema#dateTime', 'type': 'literal', 'value': '1980-12-19T00:00:00Z'}, 'maggieBirth': {'datatype': 'http://www.w3.org/2001/XMLSchema#dateTime', 'type': 'literal', 'value': '1977-11-16T00:00:00Z'}, 'jakeLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Jake Gyllenhaal'}, 'maggieLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Maggie Gyllenhaal'}, 'isJakeOlder': {'datatype': 'http://www.w3.org/2001/XMLSchema#boolean', 'type': 'literal', 'value': 'false'}}]}}",1,"['Jake Gyllenhaal', 'Maggie Gyllenhaal']",yes
41,Was the movie Parasite dropped after 2015?,Was Parasite dropped after 2015?,"PREFIX wd: <http://www.wikidata.org/entity/>
PREFIX wdt: <http://www.wikidata.org/prop/direct/>
PREFIX wikibase: <http://wikiba.se/ontology#>
PREFIX bd: <http://www.bigdata.com/rdf#>
PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>

ASK WHERE {
  ?film wdt:P31 wd:Q11424 ;
        wdt:P57 wd:Q146929 ;
        wdt:P577 ?date .
  FILTER(EXISTS { ?film rdfs:label ""Parasite""@en })
  FILTER(?date > ""2015-12-31T00:00:00Z""^^xsd:dateTime)
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}","{'head': {}, 'boolean': False}",1,False,no
42,Did Citizen Kane come out before 1950?,Did Citizen Kane come out before 1950?,"ASK WHERE {
  ?film wdt:P31 wd:Q11424;
        rdfs:label ""Citizen Kane""@en;
        wdt:P577 ?date.
  FILTER(?date < ""1950-01-01T00:00:00Z""^^xsd:dateTime)
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}","{'head': {}, 'boolean': True}",1,True,Yes.
43,In what year was Tom Cruise younger than Denzel Washington?,Is Tom Cruise younger than Denzel Washington?,"SELECT ?year WHERE {
  wd:Q37079 wdt:P569 ?birthTom.
  wd:Q8646 wdt:P569 ?birthDenzel.
  FILTER(?birthTom > ?birthDenzel)
  BIND(YEAR(?birthTom) AS ?year)
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}","{'head': {'vars': ['year']}, 'results': {'bindings': []}}",1,,1990
44,Was Avatar's budget greater than $200 million?,Was Avatar's budget greater than $200 million?,"SELECT ?film ?filmLabel (MAX(?budget) AS ?budgetAmount) ((MAX(?budget) > 200000000) AS ?isOver200M) WHERE {
  ?film wdt:P31 wd:Q11424;
        rdfs:label ""Avatar""@en;
        wdt:P577 ?date.
  FILTER(YEAR(?date) = 2009)
  { ?film wdt:P2769 ?budget } UNION { ?film wdt:P2130 ?budget }
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}
GROUP BY ?film ?filmLabel","{'head': {'vars': ['film', 'filmLabel', 'budgetAmount', 'isOver200M']}, 'results': {'bindings': [{'film': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q24871'}, 'filmLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Avatar'}, 'budgetAmount': {'datatype': 'http://www.w3.org/2001/XMLSchema#decimal', 'type': 'literal', 'value': '237000000'}, 'isOver200M': {'datatype': 'http://www.w3.org/2001/XMLSchema#boolean', 'type': 'literal', 'value': 'true'}}]}}",1,['Avatar'],yes
45,"Which movie made more money overall, Titanic or Avatar?","Which movie made mo' money overall, Titanic or Avatar?","SELECT ?film ?filmLabel ?boxOffice WHERE {
  {
    SELECT ?film (MAX(?amount) AS ?boxOffice) WHERE {
      VALUES ?film { wd:Q248 wd:Q44578 }
      ?film wdt:P2142 ?amount.
    }
    GROUP BY ?film
    ORDER BY DESC(?boxOffice)
    LIMIT 1
  }
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}","{'head': {'vars': ['film', 'filmLabel', 'boxOffice']}, 'results': {'bindings': [{'film': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q44578'}, 'boxOffice': {'datatype': 'http://www.w3.org/2001/XMLSchema#decimal', 'type': 'literal', 'value': '1850197130'}, 'filmLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Titanic'}}]}}",1,['Titanic'],Titanic
46,"Which movie made more money, Jurassic World or The Lion King?","Which movie made mo’ money, Jurassic World or The Lion King?","SELECT ?title ?boxOffice WHERE {
  VALUES ?title {""Jurassic World""@en ""The Lion King""@en}
  {
    SELECT ?title (MAX(?box) AS ?boxOffice) WHERE {
      ?movie wdt:P31 wd:Q11424;
             wdt:P1476 ?title;
             wdt:P2142 ?box.
      FILTER(LANG(?title) = ""en"")
    }
    GROUP BY ?title
  }
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}
ORDER BY DESC(?boxOffice)","{'head': {'vars': ['title', 'boxOffice']}, 'results': {'bindings': [{'title': {'xml:lang': 'en', 'type': 'literal', 'value': 'Jurassic World'}, 'boxOffice': {'datatype': 'http://www.w3.org/2001/XMLSchema#decimal', 'type': 'literal', 'value': '1670400637'}}, {'title': {'xml:lang': 'en', 'type': 'literal', 'value': 'The Lion King'}, 'boxOffice': {'datatype': 'http://www.w3.org/2001/XMLSchema#decimal', 'type': 'literal', 'value': '1654735262'}}]}}",1,[],Jurassic World
47,"Which Netflix series got watched more, Bridgerton or Tiger King?","Which Netflix series done got watched more, Bridgerton or Tiger King?","SELECT ?item ?itemLabel (MAX(?value) AS ?views) (SAMPLE(?propLabel) AS ?metricLabel) WHERE {
  VALUES ?name { ""Bridgerton""@en ""Tiger King""@en ""Tiger King: Murder, Mayhem and Madness""@en }
  ?item rdfs:label ?name;
        wdt:P31/wdt:P279* wd:Q5398426;
        wdt:P449 wd:Q907311.
  ?item ?wdtProp ?value .
  ?propEntity wikibase:directClaim ?wdtProp;
              wikibase:propertyType wikibase:Quantity;
              rdfs:label ?propLabel.
  FILTER(LANG(?propLabel) = ""en"")
  FILTER(
    CONTAINS(LCASE(?propLabel), ""view"") ||
    CONTAINS(LCASE(?propLabel), ""viewer"") ||
    CONTAINS(LCASE(?propLabel), ""viewership"") ||
    CONTAINS(LCASE(?propLabel), ""household"") ||
    CONTAINS(LCASE(?propLabel), ""participants"") ||
    CONTAINS(LCASE(?propLabel), ""watch"") ||
    CONTAINS(LCASE(?propLabel), ""hours"")
  )
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}
GROUP BY ?item ?itemLabel
ORDER BY DESC(?views)
LIMIT 2","{'head': {'vars': ['item', 'itemLabel', 'views', 'metricLabel']}, 'results': {'bindings': []}}",1,,Bridgerton
