Unnamed: 0,AAVE Question,SAE Question,SPARQL,Results,Attempts,names,Answer
77,Is Leonardo DiCaprio taller dan Joseph Gordon-Levitt?,Is Leonardo DiCaprio taller than Joseph Gordon-Levitt?,,{},0,,no
78,"Which movie had a bigger budget, The Wizard of Oz or Gone With da Wind?","Which movie had a bigger budget, The Wizard of Oz or Gone With the Wind?",,{},0,,Gone With da Wind
79,Did Taxi Driver come out afte' 1980?,When did Taxi Driver come out?,,{},0,,no
80,Is Emma Watson taller dan Rupert Grint?,Is Emma Watson taller than Rupert Grint?,,{},0,,no
81,Did Iron Man 2 come out before Avengers: Age of Ultron?,Did Iron Man 2 come out before Avengers: Age of Ultron?,,{},0,,yes
82,Was The Godfather come out after 1970?,When was The Godfather released?,,{},0,,yes
83,Is Sarah Jessica Parker older than Emma Stone?,Is Sarah Jessica Parker older than Emma Stone?,,{},0,,Emma Stone
84,Is Tom Cruise taller than Hugh Jackman?,Is Tom Cruise taller than Hugh Jackman?,,{},0,,Hugh Jackman
85,Who taller when ya compare Emma Stone to Winona Ryder?,Who is taller when you compare Emma Stone to Winona Ryder?,"SELECT ?person ?personLabel ?height WHERE {
  VALUES ?name { ""Emma Stone""@en ""Winona Ryder""@en }
  ?person rdfs:label ?name;
          wdt:P31 wd:Q5;
          wdt:P106 wd:Q33999;
          wdt:P2048 ?height.
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}
ORDER BY DESC(?height)
LIMIT 1","{'head': {'vars': ['person', 'personLabel', 'height']}, 'results': {'bindings': [{'person': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q147077'}, 'height': {'datatype': 'http://www.w3.org/2001/XMLSchema#decimal', 'type': 'literal', 'value': '168'}, 'personLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Emma Stone'}}]}}",1,Emma Stone,Winona Ryder
86,Was da box office earnings for The Wolf of Wall Street or Inception higher?,Were the box office earnings for The Wolf of Wall Street or Inception higher?,,{},0,,Inception
87,Did Avengers or The Lion King have da highest budget in 2019?,Did Avengers or The Lion King have the highest budget in 2019?,,{},0,,The Lion King
88,Did Avatar come out before or after 2010?,Did the movie Avatar come out before or after 2010?,,{},0,,before
89,Did Avengers: Age of Ultron or Avengers: Endgame make mo' worldwide gross?,"Which movie made more worldwide gross, Avengers: Age of Ultron or Avengers: Endgame?","SELECT ?film ?filmLabel (MAX(?boxOffice) AS ?worldwideGross) WHERE {
  VALUES ?title { ""Avengers: Age of Ultron""@en ""Avengers: Endgame""@en }
  ?film wdt:P31 wd:Q11424;
        wdt:P1476 ?title;
        wdt:P2142 ?boxOffice.
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}
GROUP BY ?film ?filmLabel
ORDER BY DESC(?worldwideGross)
LIMIT 1","{'head': {'vars': ['film', 'filmLabel', 'worldwideGross']}, 'results': {'bindings': [{'film': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q23781155'}, 'filmLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Avengers: Endgame'}, 'worldwideGross': {'datatype': 'http://www.w3.org/2001/XMLSchema#decimal', 'type': 'literal', 'value': '2797501328'}}]}}",1,Avengers: Endgame,Avengers: Endgame
90,"Which movie won mo Academy Awards, Titanic or Slumdog Millionaire?","Which movie won more Academy Awards, Titanic or Slumdog Millionaire?",,{},0,,Titanic
91,Was The Twilight Saga: Eclipse drop 'fore The Twilight Saga: New Moon?,Was The Twilight Saga: Eclipse released before The Twilight Saga: New Moon?,,{},0,,no
92,Is Elijah Wood shorter than Sean Astin?,Is Elijah Wood shorter than Sean Astin?,"SELECT ?isElijahShorter WHERE {
  ?wood wdt:P31 wd:Q5; rdfs:label ""Elijah Wood""@en; wdt:P2048 ?woodHeight.
  ?astin wdt:P31 wd:Q5; rdfs:label ""Sean Astin""@en; wdt:P2048 ?astinHeight.
  BIND(?woodHeight < ?astinHeight AS ?isElijahShorter)
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}","{'head': {'vars': ['isElijahShorter']}, 'results': {'bindings': []}}",1,,yes
93,Did da movie Moonraker come out before Live and Let Die?,Did the movie Moonraker come out before Live and Let Die?,,{},0,,yes
94,Did da movie Thunderball come out before 1970?,Did the movie Thunderball come out before 1970?,,{},0,,yes
95,"Who older, Billy Crystal or Adam Sandler?","Who is older, Billy Crystal or Adam Sandler?",,{},0,,Adam Sandler
96,"Which movie made more money, Toy Story or Men In Black?","Which movie made more money, Toy Story or Men in Black?","SELECT ?film ?filmLabel ?boxOffice WHERE {
  VALUES ?title { ""Toy Story""@en ""Men in Black""@en }
  ?film wdt:P31 wd:Q11424;
        wdt:P1476 ?title;
        wdt:P2142 ?boxOffice.
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}
ORDER BY DESC(?boxOffice)","{'head': {'vars': ['film', 'filmLabel', 'boxOffice']}, 'results': {'bindings': [{'film': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q51416'}, 'boxOffice': {'datatype': 'http://www.w3.org/2001/XMLSchema#decimal', 'type': 'literal', 'value': '589390539'}, 'filmLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Men in Black'}}, {'film': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q51416'}, 'boxOffice': {'datatype': 'http://www.w3.org/2001/XMLSchema#decimal', 'type': 'literal', 'value': '250690539'}, 'filmLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Men in Black'}}]}}",1,Men in Black,Toy Story
97,"Which movie made more money, Toy Story 4 or Transformers?","Which movie made more money, Toy Story 4 or Transformers?",,{},0,,Transformers
98,Did Parasite come out before 2020?,Did the movie Parasite come out before 2020?,,{},0,,no
99,Did Parasite come out afta 2018?,Did Parasite come out after 2018?,,{},0,,no
