Unnamed: 0,AAVE Question,SAE Question,SPARQL,Results,Attempts,names,Answer
21,Which American politician did Donahue replace?,Which American politician did Donahue replace?,"SELECT DISTINCT ?replaced ?replacedLabel WHERE {
  ?donahue wdt:P31 wd:Q5; rdfs:label ?donahueName.
  FILTER(LANG(?donahueName) = ""en"").
  FILTER(CONTAINS(LCASE(?donahueName), ""donahue"")).
  {
    ?donahue wdt:P1365 ?replaced.
  }
  UNION
  {
    ?donahue p:P39 ?st.
    ?st pq:P1365 ?replaced.
  }
  ?replaced wdt:P31 wd:Q5;
            wdt:P106 wd:Q82955;
            wdt:P27 wd:Q30.
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}","{'head': {'vars': ['replaced', 'replacedLabel']}, 'results': {'bindings': []}}",1,,John F. Kennedy
22,"Which band was founded first, Hole, da rock band dat Courtney Love was da frontwoman of, or The Wolfhounds?","Which band was founded first, Hole, the rock band that Courtney Love was the frontwoman of, or The Wolfhounds?","PREFIX wd: <http://www.wikidata.org/entity/>
PREFIX wdt: <http://www.wikidata.org/prop/direct/>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX wikibase: <http://wikiba.se/ontology#>
PREFIX bd: <http://www.bigdata.com/rdf#>

SELECT ?band ?bandLabel ?inception WHERE {
  VALUES ?name { ""Hole""@en ""The Wolfhounds""@en }
  ?band wdt:P31/wdt:P279* wd:Q215380;
        rdfs:label ?name;
        wdt:P571 ?inception.
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}
ORDER BY ASC(?inception)
LIMIT 1","{'head': {'vars': ['band', 'bandLabel', 'inception']}, 'results': {'bindings': [{'band': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q3523409'}, 'inception': {'datatype': 'http://www.w3.org/2001/XMLSchema#dateTime', 'type': 'literal', 'value': '1985-01-01T00:00:00Z'}, 'bandLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'The Wolfhounds'}}]}}",1,The Wolfhounds,The Wolfhounds
23,How old is da female main protagonist of Catchin' Fire?,How old is the female main protagonist of Catching Fire?,"PREFIX wd: <http://www.wikidata.org/entity/>
PREFIX wdt: <http://www.wikidata.org/prop/direct/>
PREFIX p: <http://www.wikidata.org/prop/>
PREFIX ps: <http://www.wikidata.org/prop/statement/>
PREFIX pq: <http://www.wikidata.org/prop/qualifier/>
PREFIX bd: <http://www.bigdata.com/rdf#>
PREFIX wikibase: <http://wikiba.se/ontology#>

SELECT ?actor ?actorLabel ?age WHERE {
  ?work wdt:P31 wd:Q11424;
        rdfs:label ""The Hunger Games: Catching Fire""@en.
  ?work p:P161 ?castStmt.
  ?castStmt ps:P161 ?actor.
  ?castStmt pq:P453 ?character.
  ?character rdfs:label ""Katniss Everdeen""@en.
  ?actor wdt:P21 wd:Q6581072;
         wdt:P569 ?dob.
  BIND(NOW() AS ?now)
  BIND( YEAR(?now) - YEAR(?dob) - IF(MONTH(?now) < MONTH(?dob) || (MONTH(?now) = MONTH(?dob) && DAY(?now) < DAY(?dob)), 1, 0) AS ?age )
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}
LIMIT 1","{'head': {'vars': ['actor', 'actorLabel', 'age']}, 'results': {'bindings': [{'actor': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q189490'}, 'actorLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Jennifer Lawrence'}, 'age': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '35'}}]}}",1,Jennifer Lawrence,13
24,Chang Ucchin was born in Korea durin' a time dat ended with da conclusion of what?,"In what year did the Korean War end, which concluded the time during which Chang Ucchin was born?","SELECT ?endYear WHERE {
  wd:Q8683 wdt:P582 ?end.
  BIND(YEAR(?end) AS ?endYear)
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}","{'head': {'vars': ['endYear']}, 'results': {'bindings': [{'endYear': {'datatype': 'http://www.w3.org/2001/XMLSchema#integer', 'type': 'literal', 'value': '1991'}}]}}",1,1991,the Korean War
25,Who the director of da 2003 movie dat got scenes filmed at da Quality Cafe in Los Angeles?,Who was the director of the 2003 movie that had scenes filmed at the Quality Cafe in Los Angeles?,"SELECT DISTINCT ?film ?filmLabel ?director ?directorLabel WHERE {
  VALUES ?label { ""Quality Cafe""@en ""Quality Café""@en }
  ?place rdfs:label ?label.
  ?place wdt:P131* wd:Q65.
  ?film wdt:P31 wd:Q11424;
        wdt:P915 ?place;
        wdt:P577 ?date;
        wdt:P57 ?director.
  FILTER(YEAR(?date) = 2003)
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}","{'head': {'vars': ['film', 'filmLabel', 'director', 'directorLabel']}, 'results': {'bindings': []}}",1,,David Fincher
26,"New Faces of 1952 a musical revue with songs and comedy skits, it helped jump start da career of which young performer, and American actress?","In what year was the musical revue ""New Faces of 1952"" created, which featured songs and comedy skits, and which young performer and American actress did it help launch their career?","SELECT ?year ?americanActress ?americanActressLabel WHERE {
  ?revue rdfs:label ""New Faces of 1952""@en.
  ?revue wdt:P571 ?inception.
  BIND(YEAR(?inception) AS ?year)

  { ?revue wdt:P175 ?person. }
  UNION
  { ?revue wdt:P161 ?person. }

  ?person wdt:P21 wd:Q6581072;      # female
          wdt:P27 wd:Q30;           # citizenship: United States
          wdt:P569 ?dob;            # date of birth (to identify ""young"")
          wdt:P106 ?occ.            # occupation
  ?occ wdt:P279* wd:Q33999.         # occupation is (subclass of) actor

  BIND(?person AS ?americanActress)

  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}
ORDER BY DESC(?dob)
LIMIT 1","{'head': {'vars': ['year', 'americanActress', 'americanActressLabel']}, 'results': {'bindings': []}}",1,,Vivien Leigh
27,Was Pavel Urysohn and Leonid Levin known for da same kinda work?,Were Pavel Urysohn and Leonid Levin known for the same kind of work?,"SELECT ?property ?propertyLabel ?sharedValue ?sharedValueLabel WHERE {
  {
    wd:Q216554 wdt:P101 ?sharedValue.
    wd:Q191871 wdt:P101 ?sharedValue.
    BIND(wd:P101 AS ?property)
  }
  UNION
  {
    wd:Q216554 wdt:P106 ?sharedValue.
    wd:Q191871 wdt:P106 ?sharedValue.
    BIND(wd:P106 AS ?property)
  }
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}","{'head': {'vars': ['property', 'propertyLabel', 'sharedValue', 'sharedValueLabel']}, 'results': {'bindings': []}}",2,,no
28,Is both The New Pornographers an Kings of Leon American rock bands?,Are both The New Pornographers and Kings of Leon American rock bands?,"PREFIX wd: <http://www.wikidata.org/entity/>
PREFIX wdt: <http://www.wikidata.org/prop/direct/>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX wikibase: <http://wikiba.se/ontology#>
PREFIX bd: <http://www.bigdata.com/rdf#>

ASK {
  {
    ?np rdfs:label ""The New Pornographers""@en;
        wdt:P136/wdt:P279* wd:Q11399;
        wdt:P495 wd:Q30.
  }
  {
    ?kol rdfs:label ""Kings of Leon""@en;
         wdt:P136/wdt:P279* wd:Q11399;
         wdt:P495 wd:Q30.
  }
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}","{'head': {}, 'boolean': False}",1,,yes
29,"750 7th Avenue an' 101 Park Avenue, where they at in which city?",Where are 750 7th Avenue and 101 Park Avenue located in which city?,"SELECT DISTINCT ?item ?itemLabel ?city ?cityLabel WHERE {
  VALUES ?name {
    ""750 7th Avenue""@en
    ""750 Seventh Avenue""@en
    ""101 Park Avenue""@en
  }
  ?item (rdfs:label|skos:altLabel) ?name.
  ?item wdt:P131* ?city.
  ?city wdt:P31/wdt:P279* wd:Q515.
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}","{'head': {'vars': ['item', 'itemLabel', 'city', 'cityLabel']}, 'results': {'bindings': [{'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q2782432'}, 'city': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q60'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': '101 Park Avenue'}, 'cityLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'New York City'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q2451328'}, 'city': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q60'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': '750 Seventh Avenue'}, 'cityLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'New York City'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q2782432'}, 'city': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q11299'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': '101 Park Avenue'}, 'cityLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Manhattan'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q2451328'}, 'city': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q11299'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': '750 Seventh Avenue'}, 'cityLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Manhattan'}}]}}",1,101 Park Avenue,New York
30,"Which actress played da part of dat made-up character Kimberly Ann Hart, in da franchise built 'round a live action superhero TV show takin' most of its footage from da Japanese tokusatsu 'Super Sentai'?",Which actress played the role of that made-up character Kimberly Ann Hart in the franchise based on a live-action superhero TV show that uses most of its footage from the Japanese tokusatsu series 'Super Sentai'?,"SELECT DISTINCT ?actress ?actressLabel WHERE {
  ?character rdfs:label ""Kimberly Ann Hart""@en.
  ?work p:P161 ?castStatement.
  ?castStatement ps:P161 ?actress;
                 pq:P453 ?character.
  ?actress wdt:P21 wd:Q6581072.
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}","{'head': {'vars': ['actress', 'actressLabel']}, 'results': {'bindings': []}}",1,,Yoko Ono
31,"Who was born first, Pablo Trapero or Aleksander Ford?","Who was born first, Pablo Trapero or Aleksander Ford?","SELECT ?person ?personLabel ?birthDate WHERE {
  VALUES ?name {""Pablo Trapero""@en ""Aleksander Ford""@en}
  ?person rdfs:label ?name.
  ?person wdt:P31 wd:Q5;
          wdt:P569 ?birthDate.
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}
ORDER BY ?birthDate
LIMIT 1","{'head': {'vars': ['person', 'personLabel', 'birthDate']}, 'results': {'bindings': [{'person': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q1257887'}, 'birthDate': {'datatype': 'http://www.w3.org/2001/XMLSchema#dateTime', 'type': 'literal', 'value': '1908-11-24T00:00:00Z'}, 'personLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Aleksander Ford'}}]}}",1,Aleksander Ford,Pablo Trapero
32,Is Jane and First for Women both women’s mags?,Are Jane and First for Women both women's magazines?,"SELECT ?item ?itemLabel ?isWomensMagazine WHERE {
  VALUES ?name { ""Jane""@en ""First for Women""@en }
  ?item rdfs:label ?name.
  ?item wdt:P31/wdt:P279* wd:Q41298.
  BIND(EXISTS {
    ?item wdt:P31/wdt:P279* ?cls.
    ?cls rdfs:label ""women's magazine""@en.
  } AS ?isWomensMagazine)
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}","{'head': {'vars': ['item', 'itemLabel', 'isWomensMagazine']}, 'results': {'bindings': [{'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q5454163'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'First for Women'}, 'isWomensMagazine': {'datatype': 'http://www.w3.org/2001/XMLSchema#boolean', 'type': 'literal', 'value': 'false'}}, {'item': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q6151058'}, 'itemLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Jane'}, 'isWomensMagazine': {'datatype': 'http://www.w3.org/2001/XMLSchema#boolean', 'type': 'literal', 'value': 'false'}}]}}",1,First for Women,yes
33,What profession do Nicholas Ray an' Elia Kazan got in common?,What profession did Nicholas Ray and Elia Kazan have in common?,"SELECT ?profession ?professionLabel WHERE {
  VALUES ?name { ""Nicholas Ray""@en ""Elia Kazan""@en }
  ?person rdfs:label ?name;
          wdt:P31 wd:Q5;
          wdt:P106 ?profession.
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}
GROUP BY ?profession ?professionLabel
HAVING (COUNT(DISTINCT ?name) = 2)","{'head': {'vars': ['profession', 'professionLabel']}, 'results': {'bindings': []}}",2,,film director
34,Where da company dat bought Aixam based at?,Where is the company that bought Aixam based?,"SELECT DISTINCT ?hq ?hqLabel WHERE {
  ?company rdfs:label|skos:altLabel ""Aixam""@en;
           wdt:P31/wdt:P279* wd:Q163740.
  {
    ?company wdt:P127 ?buyer.
  } UNION {
    ?company wdt:P749 ?buyer.
  } UNION {
    ?buyer wdt:P355 ?company.
  }
  ?buyer wdt:P159 ?hq.
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}","{'head': {'vars': ['hq', 'hqLabel']}, 'results': {'bindings': []}}",1,,San Francisco
35,"Which documentary 'bout Finnish rock groups, Adam Clayton Powell or The Saimaa Gesture?","Which documentary is about Finnish rock groups, Adam Clayton Powell or The Saimaa Gesture?","SELECT DISTINCT ?film ?filmLabel WHERE {
  VALUES ?name { ""Adam Clayton Powell""@en ""The Saimaa Gesture""@en }
  ?film (rdfs:label|skos:altLabel) ?name.
  ?film wdt:P31/wdt:P279* wd:Q93204.
  ?film wdt:P921 ?band.
  {
    ?band wdt:P31/wdt:P279* wd:Q5741069.
    ?band (wdt:P495|wdt:P17) wd:Q33.
  }
  UNION
  {
    ?band wdt:P31/wdt:P279* wd:Q215380.
    ?band (wdt:P495|wdt:P17) wd:Q33.
    ?band wdt:P136/wdt:P279* wd:Q11399.
  }
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}","{'head': {'vars': ['film', 'filmLabel']}, 'results': {'bindings': []}}",1,,The Saimaa Gesture
36,"Who got inducted into da Rock and Roll Hall of Fame, David Lee Roth or Cia Berg?","Who was inducted into the Rock and Roll Hall of Fame, David Lee Roth or Cia Berg?","SELECT DISTINCT ?person ?personLabel WHERE {
  VALUES ?name { ""David Lee Roth""@en ""Cia Berg""@en }
  ?person rdfs:label ?name.
  ?person wdt:P31 wd:Q5.
  {
    ?person wdt:P166 ?award.
    ?award rdfs:label ""Rock and Roll Hall of Fame""@en.
  }
  UNION
  {
    ?person wdt:P463 ?org.
    ?org rdfs:label ""Rock and Roll Hall of Fame""@en.
  }
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}","{'head': {'vars': ['person', 'personLabel']}, 'results': {'bindings': []}}",1,,David Lee Roth
37,Zimbabwe's Guwe Secondary School got a sister school in what New York county?,In what New York county is Zimbabwe's Guwe Secondary School's sister school located?,"SELECT DISTINCT ?county ?countyLabel WHERE {
  VALUES ?guweLabel { ""Guwe Secondary School""@en }
  ?guwe rdfs:label ?guweLabel;
        wdt:P17 wd:Q954.

  ?prop a wikibase:Property;
        rdfs:label ?propLabel;
        wikibase:directClaim ?wdtProp.
  FILTER(LANG(?propLabel) = ""en"").
  FILTER(REGEX(STR(?propLabel), ""sister school|twin school|partner school"", ""i"")).

  { ?guwe ?wdtProp ?sister } UNION { ?sister ?wdtProp ?guwe }.
  ?sister wdt:P31/wdt:P279* wd:Q3914.
  ?sister wdt:P131* ?county.
  ?county wdt:P31/wdt:P279* wd:Q13410490.
  ?county wdt:P131 wd:Q1384.

  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}","{'head': {'vars': ['county', 'countyLabel']}, 'results': {'bindings': []}}",1,,Suffolk County
38,"Da Royal Commission into Drug Trafficking (1977–1979) or Woodward Royal Commission was a royal commission started by da New South Wales Government to look into drug trafficking in New South Wales, Australia, especially da links between da New South Wales Police and Mafia, da Honoured Society, which is a Calabrian 'Ndrangheta criminal confederation, started in Melbourne and still active in all of which country?","What country is the Honoured Society, which is a Calabrian 'Ndrangheta criminal confederation started in Melbourne and still active in all of it, based in?","SELECT ?country ?countryLabel WHERE {
  VALUES ?name { ""Honoured Society""@en ""The Honoured Society""@en }
  ?item rdfs:label ?name.
  ?item wdt:P31/wdt:P279* wd:Q3915489.
  ?item wdt:P17 ?country.
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}","{'head': {'vars': ['country', 'countryLabel']}, 'results': {'bindings': []}}",1,,Australia
39,"Da 337th Flight Test Squadron (337 FLTS) was most recently part of da 46th Test Wing and based at McClellan Air Force Base, a former United States Air Force base located in da North Highlands area of Sacramento County, in which US state?","In which U.S. state is McClellan Air Force Base, a former United States Air Force base located in the North Highlands area of Sacramento County, situated?","SELECT ?state ?stateLabel WHERE {
  ?base rdfs:label ""McClellan Air Force Base""@en.
  ?base wdt:P131+ ?state.
  ?state wdt:P31 wd:Q35657.
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}
LIMIT 1","{'head': {'vars': ['state', 'stateLabel']}, 'results': {'bindings': [{'state': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q99'}, 'stateLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'California'}}]}}",1,California,California
40,Da axial turbojet Pirna 014 was designed by engineers from dis German aircraft and aircraft engine manufacturer based in which city?,In which city is the German aircraft and aircraft engine manufacturer based that designed the axial turbojet Pirna 014?,"SELECT DISTINCT ?city ?cityLabel WHERE {
  ?engine rdfs:label ""Pirna 014""@en.
  VALUES ?rel { wdt:P287 wdt:P176 wdt:P61 }
  ?engine ?rel ?org.
  ?org wdt:P31/wdt:P279* wd:Q4830453;
       wdt:P17 wd:Q183;
       wdt:P159 ?city.
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}","{'head': {'vars': ['city', 'cityLabel']}, 'results': {'bindings': []}}",1,,Stuttgart
41,"Which faith is tied to da University of Providence, private university accredited by da NW association of Schools and Colleges and located in da third largest city in Montana after bein' passed by Missoula?","Which faith is associated with the University of Providence, a private university accredited by the NW Association of Schools and Colleges and located in the third largest city in Montana after being passed by Missoula?","SELECT ?faith ?faithLabel WHERE {
  ?univ rdfs:label ""University of Providence""@en;
        wdt:P31/wdt:P279* wd:Q3918;
        wdt:P140 ?faith.
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}","{'head': {'vars': ['faith', 'faithLabel']}, 'results': {'bindings': [{'faith': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q9592'}, 'faithLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Catholic Church'}}]}}",1,Catholic Church,Catholic
42,Pauline Henry was known as da vocalist of a real popular cover song. Which album was dis song from?,Which album was this song from?,"SELECT ?album ?albumLabel WHERE {
  VALUES ?song { wd:QXXXX } 
  { ?song wdt:P361 ?album. }
  UNION
  { ?album wdt:P658 ?song. }
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}","{'head': {'vars': ['album', 'albumLabel']}, 'results': {'bindings': []}}",1,,"""Stayin' Alive"""
43,Guitars for Wounded Warriors a album dat was recorded in da village where New York county at?,What album by Guitars for Wounded Warriors was recorded in the village in New York County?,"SELECT DISTINCT ?album ?albumLabel WHERE {
  ?album wdt:P31 wd:Q482994;
         wdt:P175 ?artist;
         (wdt:P276|wdt:P1071|wdt:P483) ?place.
  ?artist rdfs:label ""Guitars for Wounded Warriors""@en.

  ?place wdt:P131* ?area.
  ?area rdfs:label ?areaLabel.
  FILTER(LANG(?areaLabel) = ""en"" && CONTAINS(LCASE(STR(?areaLabel)), ""village"")).

  ?area wdt:P131* ?county.
  ?county rdfs:label ""New York County""@en.

  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}","{'head': {'vars': ['album', 'albumLabel']}, 'results': {'bindings': []}}",1,,Nassau County
44,"What American country music singer-songwriter, born in May of 1942, sung a duet wit her ex-husband da same year he dropped da song ""The Battle?","What American country music singer-songwriter, born in May of 1942, sang a duet with her ex-husband the same year he released the song ""The Battle?","SELECT DISTINCT ?item ?itemLabel WHERE {
  ?item wdt:P31 wd:Q5;
        wdt:P27 wd:Q30;
        wdt:P569 ?dob.
  FILTER(YEAR(?dob)=1942 && MONTH(?dob)=5)

  ?item p:P26 ?spouseStmt.
  ?spouseStmt ps:P26 ?ex.
  ?spouseStmt pq:P582 ?end.
  ?ex wdt:P21 wd:Q6581097.

  ?battleSong wdt:P175 ?ex;
              wdt:P577 ?battleDate;
              wdt:P31/wdt:P279* wd:Q7366;
              rdfs:label ""The Battle""@en.

  ?duetSong wdt:P175 ?item, ?ex;
            wdt:P577 ?duetDate;
            wdt:P31/wdt:P279* wd:Q7366.

  FILTER(YEAR(?duetDate) = YEAR(?battleDate))

  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}","{'head': {'vars': ['item', 'itemLabel']}, 'results': {'bindings': []}}",2,,Bonnie Raitt
45,"Who was born first, Francis Nethersole or Elizabeth Stuart?","Who was born first, Francis Nethersole or Elizabeth Stuart?","SELECT ?person ?personLabel ?dob WHERE {
  {
    ?person wdt:P31 wd:Q5;
            rdfs:label ""Francis Nethersole""@en;
            wdt:P569 ?dob.
  }
  UNION
  {
    ?person wdt:P31 wd:Q5;
            wdt:P26 ?spouse;
            wdt:P569 ?dob.
    ?spouse rdfs:label ?spLabel.
    FILTER(LANG(?spLabel)=""en"").
    FILTER(REGEX(?spLabel, ""^Frederick V(,| of)""))
    ?person rdfs:label ?elLabel.
    FILTER(LANG(?elLabel)=""en"").
    FILTER(STRSTARTS(?elLabel, ""Elizabeth Stuart""))
  }
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}
ORDER BY ?dob
LIMIT 1","{'head': {'vars': ['person', 'personLabel', 'dob']}, 'results': {'bindings': [{'person': {'type': 'uri', 'value': 'http://www.wikidata.org/entity/Q18730286'}, 'dob': {'datatype': 'http://www.w3.org/2001/XMLSchema#dateTime', 'type': 'literal', 'value': '1587-01-01T00:00:00Z'}, 'personLabel': {'xml:lang': 'en', 'type': 'literal', 'value': 'Francis Nethersole'}}]}}",1,Francis Nethersole,Elizabeth Stuart
46,What do da Hacker-Pschorr Brewery gotta limit to comply wit German regulations?,What does the Hacker-Pschorr Brewery have to limit in order to comply with German regulations?,"SELECT DISTINCT ?what ?whatLabel WHERE {
  VALUES ?label { ""Hacker-Pschorr Brewery""@en ""Hacker-Pschorr""@en }
  ?brewery rdfs:label ?label.

  ?compliesProp a wikibase:Property; rdfs:label ""complies with""@en; wikibase:directClaim ?compliesClaim.
  ?brewery ?compliesClaim ?reg.

  OPTIONAL { ?reg wdt:P17 ?country. }
  OPTIONAL { ?reg wdt:P1001 ?jurisdiction. }
  FILTER(?country = wd:Q183 || ?jurisdiction = wd:Q183)

  ?prop2 a wikibase:Property; wikibase:directClaim ?dc2; rdfs:label ?prop2Label.
  FILTER(LANG(?prop2Label)=""en"" && (CONTAINS(LCASE(?prop2Label), ""limit"") || CONTAINS(LCASE(?prop2Label), ""restriction"") || CONTAINS(LCASE(?prop2Label), ""prohibit"") || CONTAINS(LCASE(?prop2Label), ""allowed"")))
  ?reg ?dc2 ?what.

  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}","{'head': {'vars': ['what', 'whatLabel']}, 'results': {'bindings': []}}",1,,alcohol content
47,"Don Barry Mason was the founder of da Psychedelic Shamanistic Institute (PSI), which other member dat's Welsh, dat died on 10 April 2016?","Who was the other member of the Psychedelic Shamanistic Institute (PSI), founded by Don Barry Mason, who was Welsh and died on April 10, 2016?","SELECT ?person ?personLabel WHERE {
  ?psi rdfs:label ?psiLabel.
  FILTER(LANG(?psiLabel)=""en"" && CONTAINS(LCASE(?psiLabel), ""psychedelic shamanistic institute"")).
  ?psi wdt:P112 ?founder.
  ?founder rdfs:label ?founderLabel.
  FILTER(LANG(?founderLabel)=""en"" && LCASE(?founderLabel) = ""don barry mason"").
  ?person wdt:P31 wd:Q5;
          wdt:P463 ?psi;
          wdt:P570 ?dod.
  FILTER(?person != ?founder).
  FILTER (YEAR(?dod) = 2016 && MONTH(?dod) = 4 && DAY(?dod) = 10).
  SERVICE wikibase:label { bd:serviceParam wikibase:language ""en"". }
}","{'head': {'vars': ['person', 'personLabel']}, 'results': {'bindings': []}}",1,,Don Barry Mason was the founder of da Psychedelic Shamanistic Institute
